Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,80,0,0,81,18.5,48.46516726374673,125.0713192179401,#3498db
,90,0,0,81,18.5,49.17402821202174,129.93477548345098,#3498db
,100,0,0,81,18.5,49.81166878912832,134.23762652337413,#3498db
,110,0,0,81,18.5,50.69604523936092,139.0576402438145,#3498db
,120,0,0,81,18.5,52.193410042689536,142.80995707019153,#3498db
,130,0,0,81,18.5,52.96725731207774,147.41872096793873,#3498db
,140,0,0,81,18.5,54.05248458952843,150.6643699905711,#3498db
,149,0,0,81,18.5,55.451886023954785,154.2774170131598,#3498db
,159,0,0,81,18.5,56.28756727170001,157.5248175333035,#3498db
,170,0,0,81,18.5,57.6967041802632,160.91497983407942,#3498db
,180,0,0,81,18.5,58.636003838398665,162.6071869810878,#3498db
,189,0,0,81,18.5,56.9467519492064,158.9306521874683,#3498db
,199,0,0,81,18.5,55.2917345868367,154.96823943332848,#3498db
,2,0,0,91,18.5,53.65506285980863,91.31106901610308,#f39c12
,12,0,0,91,18.5,52.50710719579084,97.83974023013624,#f39c12
,22,0,0,91,18.5,50.887009956037936,104.16702515500837,#f39c12
,32,0,0,91,18.5,50.432228782671004,110.54723386406202,#f39c12
,42,0,0,91,18.5,50.54489391764628,116.34505587432939,#f39c12
,52,0,0,91,18.5,50.741752978319674,122.25738430512396,#f39c12
,62,0,0,91,18.5,50.16929783057679,127.52473380302108,#f39c12
,72,0,0,91,18.5,50.81844761269198,133.37735762314657,#f39c12
,82,0,0,91,18.5,51.144532123853814,138.10674808589764,#f39c12
,92,0,0,91,18.5,51.894411332034096,143.35059608318906,#f39c12
,102,0,0,91,18.5,53.2982509945669,147.7469123101084,#f39c12
,112,0,0,91,18.5,53.87494563632794,152.09506934894674,#f39c12
,122,0,0,91,18.5,55.196039095951456,154.98174057448887,#f39c12
,132,0,0,91,18.5,56.230291408116244,160.48269423453786,#f39c12
,142,0,0,91,18.5,56.605151267105256,163.62365633946456,#f39c12
,151,0,0,91,18.5,58.0481833235847,167.42770065690573,#f39c12
,161,0,0,91,18.5,59.760189102862874,171.6322278158782,#f39c12
,172,0,0,91,18.5,61.497533948764946,174.4974030689847,#f39c12
,182,0,0,91,18.5,61.515690673536,174.3461672081895,#f39c12
,191,0,0,91,18.5,60.31337482402018,171.22328158465646,#f39c12
,201,0,0,91,18.5,57.79305517289323,167.88036906687722,#f39c12
,0,0,0,101,18.5,56.66989425219924,100.89482448110701,#1abc9c
,10,0,0,101,18.5,55.08541082841966,107.22155523642746,#1abc9c
,20,0,0,101,18.5,54.186143114213586,114.88151044858421,#1abc9c
,30,0,0,101,18.5,52.740366951576206,120.69827079274687,#1abc9c
,40,0,0,101,18.5,53.12666074044196,127.41368620762572,#1abc9c
,50,0,0,101,18.5,52.443427499191976,133.16577351616016,#1abc9c
,60,0,0,101,18.5,53.21657654836998,139.45497392479257,#1abc9c
,70,0,0,101,18.5,53.465815102476434,144.49906670744895,#1abc9c
,80,0,0,101,18.5,54.16482158081663,148.84971562353303,#1abc9c
,90,0,0,101,18.5,54.59849511427689,154.5763965657854,#1abc9c
,100,0,0,101,18.5,55.832543753899394,159.00187354946013,#1abc9c
,110,0,0,101,18.5,56.911070644935336,164.14741555477298,#1abc9c
,120,0,0,101,18.5,58.316821908993376,167.29145951492166,#1abc9c
,130,0,0,101,18.5,59.91729313785396,172.1824827168475,#1abc9c
,140,0,0,101,18.5,60.540900353486265,175.93802174738897,#1abc9c
,149,0,0,101,18.5,62.45178012109023,179.58748795883417,#1abc9c
,159,0,0,101,18.5,63.181850606144216,183.7173916652316,#1abc9c
,170,0,0,101,18.5,64.20563332107241,187.3290687252007,#1abc9c
,180,0,0,101,18.5,65.14846273048082,187.6983530546159,#1abc9c
,189,0,0,101,18.5,64.01976631076747,183.58558038512138,#1abc9c
,199,0,0,101,18.5,61.53790715170406,179.8204696155371,#1abc9c
,0,0,0,111,18.5,59.37900287606069,112.41382155825626,#f1c40f
,9,0,0,111,18.5,57.367229546565376,118.81482711183071,#f1c40f
,20,0,0,111,18.5,56.87042955719475,126.27948017974522,#f1c40f
,30,0,0,111,18.5,56.06856049563419,132.61864752883926,#f1c40f
,39,0,0,111,18.5,55.980100701618376,139.03413943999098,#f1c40f
,49,0,0,111,18.5,55.605623176422185,144.32120830075866,#f1c40f
,59,0,0,111,18.5,56.31296036546684,150.03082525457367,#f1c40f
,69,0,0,111,18.5,55.75597865541079,155.7854315084755,#f1c40f
,79,0,0,111,18.5,56.28935504085946,161.3491987995128,#f1c40f
,89,0,0,111,18.5,58.09695137412083,166.79848809621936,#f1c40f
,99,0,0,111,18.5,59.37637751771361,171.26638862990805,#f1c40f
,110,0,0,111,18.5,61.23946179336533,176.26478019470227,#f1c40f
,120,0,0,111,18.5,61.13713757724552,180.10384136022031,#f1c40f
,130,0,0,111,18.5,62.2799539385408,183.98188009553618,#f1c40f
,140,0,0,111,18.5,63.55395899963392,187.798996314005,#f1c40f
,150,0,0,111,18.5,65.78974497997953,190.94393802300596,#f1c40f
,160,0,0,111,18.5,67.55313355135095,196.29411627731386,#f1c40f
,170,0,0,111,18.5,68.63541104262478,199.49702223249133,#f1c40f
,180,0,0,111,18.5,69.2456643583145,199.45242717891907,#f1c40f
,190,0,0,111,18.5,65.83317375281933,196.89329110273533,#f1c40f
,200,0,0,111,18.5,63.72013291467157,193.42198458027394,#f1c40f
,0,0,0,121,18.5,61.71734741744537,123.16017986791226,#2ecc71
,9,0,0,121,18.5,60.63215902409015,130.16686478309032,#2ecc71
,20,0,0,121,18.5,59.49937837757629,137.65024184413156,#2ecc71
,30,0,0,121,18.5,58.51434973419068,144.03485657816015,#2ecc71
,39,0,0,121,18.5,58.62600354102208,149.76103671133794,#2ecc71
,49,0,0,121,18.5,59.15367171983456,156.96385595361392,#2ecc71
,59,0,0,121,18.5,59.21276023352754,162.0001429932794,#2ecc71
,69,0,0,121,18.5,59.66559136055874,168.16525261471102,#2ecc71
,79,0,0,121,18.5,60.35623719152069,173.69853552551032,#2ecc71
,89,0,0,121,18.5,60.81732442386881,178.15901303166552,#2ecc71
,99,0,0,121,18.5,62.432409179395215,182.5919690780343,#2ecc71
,109,0,0,121,18.5,64.26732786589027,187.61246934867782,#2ecc71
,119,0,0,121,18.5,64.39813469495726,192.4410644261989,#2ecc71
,129,0,0,121,18.5,66.3762063669751,197.28234841987745,#2ecc71
,139,0,0,121,18.5,66.8663672324871,200.35971573249697,#2ecc71
,149,0,0,121,18.5,68.99421028888945,205.1915599739984,#2ecc71
,159,0,0,121,18.5,69.85415098026203,206.7287414267336,#2ecc71
,169,0,0,121,18.5,71.54154222916104,211.72163093183562,#2ecc71
,179,0,0,121,18.5,72.70187577839778,211.782347082201,#2ecc71
,189,0,0,121,18.5,71.1978668219904,209.50153262336607,#2ecc71
,198,0,0,121,18.5,69.9520373304256,205.41164450875533,#2ecc71
,0,0,0,131,18.5,64.94523949518864,134.24807954359295,#e74c3c
,9,0,0,131,18.5,62.61821361695138,141.58126906541688,#e74c3c
,20,0,0,131,18.5,62.14469131817208,149.31046002578444,#e74c3c
,30,0,0,131,18.5,61.34066304894727,156.54912382002507,#e74c3c
,39,0,0,131,18.5,61.458062152612676,162.2833509738826,#e74c3c
,49,0,0,131,18.5,62.08656575014286,168.55225093070305,#e74c3c
,59,0,0,131,18.5,61.32077042479496,174.27316410519057,#e74c3c
,69,0,0,131,18.5,62.35058420042963,180.583943804347,#e74c3c
,79,0,0,131,18.5,63.95638525905883,184.98986100834983,#e74c3c
,89,0,0,131,18.5,63.86347129475326,190.85461843213994,#e74c3c
,99,0,0,131,18.5,66.1240866607591,195.25923708463836,#e74c3c
,109,0,0,131,18.5,67.2727338611175,200.63842508220617,#e74c3c
,119,0,0,131,18.5,67.94354776063656,204.8990827766493,#e74c3c
,129,0,0,131,18.5,69.53905590182609,209.10870404162858,#e74c3c
,139,0,0,131,18.5,71.05409226453796,212.86343926858257,#e74c3c
,149,0,0,131,18.5,73.41072714444991,217.89168877828197,#e74c3c
,159,0,0,131,18.5,74.87189124337257,220.65203834471396,#e74c3c
,169,0,0,131,18.5,76.08432972607841,223.23963024909148,#e74c3c
,179,0,0,131,18.5,76.93345073139976,224.6639585461912,#e74c3c
,189,0,0,131,18.5,75.0370808409013,222.60071790580557,#e74c3c
,198,0,0,131,18.5,73.60408712690807,217.93058305985542,#e74c3c
,-1,0,0,141,18.5,67.31973095741567,145.63080800071828,#3498db
,9,0,0,141,18.5,65.58840681131854,152.90166913597247,#3498db
,19,0,0,141,18.5,65.49610338355967,160.80541929543517,#3498db
,29,0,0,141,18.5,65.78649203943955,167.3058789519659,#3498db
,39,0,0,141,18.5,64.57945845793854,173.93714514977415,#3498db
,49,0,0,141,18.5,65.14209407536792,180.75313216869827,#3498db
,59,0,0,141,18.5,65.17806855843743,185.89991616396992,#3498db
